# Copyright 2015 Satoshi Konno. All rights reserved.
# Use of this source code is governed by a BSD-style
# license that can be found in the LICENSE file.

error_code_unknown,0,"Unknown Error"

error_code_bad_destination,300,"Bad Destination"

error_code_invalid_request,400,"Invalid Request"
error_code_method_not_found,401,"Method not found"
error_code_invalid_params,402,"Invalid params"
error_code_internal_error,600,"Internal error"

error_code_script_engine_internal_error,700,"Script Engine Internal Error"
error_code_script_engine_not_found,701,"Script Engine Not Found"
error_code_script_compile_error,702,"Script Compile Error"
error_code_script_runtime_error,703,"Script Runtime Error"
